Year,AdminCity,City,Population,Male,Female,Latitude,Longitude
2010,Smolyan,Devin,6996,3299,3697,41.7444,24.3978
2010,Smolyan,Dospat,2540,1247,1293,41.6436,24.1667
2010,Smolyan,Zlatograd,7077,3298,3779,41.3833,25.1
2010,Smolyan,Madan,6026,2997,3029,41.4833,24.9333
2010,Smolyan,Nedelino,4529,2162,2367,41.5167,25.1
2010,Smolyan,Rudozem,3499,1633,1866,41.4833,24.85
2010,Smolyan,Smolyan,31404,15132,16272,41.5739,24.7128
2010,Smolyan,Chepelare,5344,2601,2743,41.7269,24.6833
2010,Sofia (stolitsa),Bankya,10126,5002,5124,42.6983,23.1342
2010,Sofia (stolitsa),Buhovo,2952,1434,1518,42.7667,23.4667
2010,Sofia (stolitsa),Novi Iskar,13855,6788,7067,42.8022,23.3006
2010,Sofia (stolitsa),Sofia,1174515,557069,617446,42.6977,23.3219
2010,Sofia (oblast),Bozhurishte,5439,2612,2827,42.755,23.1897
2010,Sofia (oblast),Botevgrad,20444,9840,10604,42.9119,23.8106
2010,Sofia (oblast),Godech,4355,2153,2202,43.0122,23.0447
2010,Sofia (oblast),Dolna Banya,4665,2269,2396,42.3,23.7833
2010,Sofia (oblast),Dragoman,3332,1647,1685,42.9225,23.0464
2010,Sofia (oblast),Elin Pelin,6705,3224,3481,42.6667,23.6
2010,Sofia (oblast),Etropole,10750,5246,5504,42.8333,24.0
2010,Sofia (oblast),Zlatitsa,5090,2464,2626,42.7,24.1333
2010,Sofia (oblast),Ihtiman,13297,6559,6738,42.4333,23.8167
2010,Sofia (oblast),Koprivshtitsa,2377,1153,1224,42.6333,24.35
2010,Sofia (oblast),Kostenets,7018,3408,3610,42.3086,23.8578
2010,Sofia (oblast),Kostinbrod,11896,5787,6109,42.8136,23.2178
2010,Sofia (oblast),Momin prohod,1543,736,807,42.4,23.85
2010,Sofia (oblast),Pirdop,7651,3682,3969,42.7,24.1833
2010,Sofia (oblast),Pravets,4621,2354,2267,42.8986,23.9142
2010,Sofia (oblast),Samokov,26061,12501,13560,42.3378,23.5528
2010,Sofia (oblast),Svoge,8033,3920,4113,42.9597,23.3408
2010,Sofia (oblast),Slivnitsa,7333,3652,3681,42.8511,23.0356
2010,Stara Zagora,Gurkovo,2917,1443,1474,42.65,25.8167
2010,Stara Zagora,Galabovo,8425,4248,4177,42.1333,25.8667
2010,Stara Zagora,Kazanlak,48818,23232,25586,42.6167,25.4
2010,Stara Zagora,Kran,3316,1647,1669,42.6658,25.3738
2010,Stara Zagora,Maglizh,3398,1726,1672,42.6167,25.5667
2010,Stara Zagora,Nikolaevo,2864,1381,1483,42.6833,25.85
2010,Stara Zagora,Pavel Banya,2914,1369,1545,42.6167,25.2
2010,Stara Zagora,Radnevo,13207,6594,6613,42.3,25.9333
2010,Stara Zagora,Stara Zagora,139749,67400,72349,42.4258,25.6347
2010,Stara Zagora,Chirpan,16133,7823,8310,42.2,25.3333
2010,Stara Zagora,Shipka,1466,686,780,42.7167,25.3333
2010,Targovishte,Antonovo,1429,725,704,43.15,26.1667
2010,Targovishte,Omurtag,8612,4081,4531,43.1,26.4167
2010,Targovishte,Opaka,2817,1396,1421,43.45,26.1667
2010,Targovishte,Popovo,15286,7286,8000,43.35,26.2333
2010,Targovishte,Targovishte,37137,17693,19444,43.25,26.5833
2010,Haskovo,Dimitrovgrad,38785,18587,20198,42.0519,25.5897
2010,Haskovo,Ivaylovgrad,3704,1802,1902,41.5283,26.1256
2010,Haskovo,Lyubimets,7587,3760,3827,41.8333,26.0833
2010,Haskovo,Madzharovo,613,299,314,41.6292,25.8667
2010,Haskovo,Merichleri,1915,927,988,42.0,25.8
2010,Haskovo,Svilengrad,18005,8774,9231,41.7667,26.2
2010,Haskovo,Simeonovgrad,6941,3379,3562,42.0333,25.8333
2010,Haskovo,Topolovgrad,5542,2740,2802,42.0844,26.3386
2010,Haskovo,Harmanli,18360,8925,9435,41.9333,25.9
2010,Haskovo,Haskovo,76431,36307,40124,41.9333,25.5667
2010,Shumen,Veliki Preslav,8886,4394,4492,43.1667,26.8167
2010,Shumen,Varbitsa,3560,1738,1822,43.1667,26.5833
2010,Shumen,Kaolinovo,1492,736,756,43.3167,27.0167
2010,Shumen,Kaspichan,3175,1554,1621,43.3167,27.1667
2010,Shumen,Novi Pazar,12613,6021,6592,43.35,27.2
2010,Shumen,Pliska,1045,494,551,43.3667,27.1167
2010,Shumen,Smyadovo,3986,1965,2021,43.0333,27.05
2010,Shumen,Shumen,86290,41020,45270,43.2714,26.9361
2010,Yambol,Bolyarovo,1264,623,641,42.1,26.8333
2010,Yambol,Elhovo,10367,5033,5334,42.1667,26.5667
2010,Yambol,Straldzha,5977,2994,2983,42.6,26.6833
2010,Yambol,Yambol,75742,36541,39201,42.4833,26.5
2011,Blagoevgrad,Bansko,8951,4370,4581,41.8383,23.488
2011,Blagoevgrad,Belitsa,3327,1592,1735,41.9494,23.5725
2011,Blagoevgrad,Blagoevgrad,70656,33674,36982,42.0167,23.1
2011,Blagoevgrad,Gotse Delchev,19091,9225,9866,41.5667,23.7333
2011,Blagoevgrad,Dobrinishte,2808,1365,1443,41.825,23.5594
2011,Blagoevgrad,Kresna,3552,1799,1753,41.73,23.1569
2011,Blagoevgrad,Melnik,216,104,112,41.5231,23.3925
2011,Blagoevgrad,Petrich,28784,13927,14857,41.3981,23.2072
2011,Blagoevgrad,Razlog,11900,5791,6109,41.8864,23.4678
2011,Blagoevgrad,Sandanski,26206,12740,13466,41.5667,23.2833
2011,Blagoevgrad,Simitli,6696,3365,3331,41.8936,23.1069
2011,Blagoevgrad,Hadzhidimovo,2695,1385,1310,41.5167,23.8667
2011,Blagoevgrad,Yakoruda,5737,2775,2962,42.02,23.6833
2011,Burgas,Aytos,19904,9670,10234,42.7,27.25
2011,Burgas,Aheloy,2426,1226,1200,42.6483,27.6494
2011,Burgas,Ahtopol,1295,639,656,42.1,27.95
2011,Burgas,Burgas,199484,96654,102830,42.4975,27.47
2011,Burgas,Bulgarovo,1681,853,828,42.65,27.3333
2011,Burgas,Kableshkovo,2895,1436,1459,42.6167,27.5667
2011,Burgas,Kameno,4312,2108,2204,42.5667,27.3667
2011,Burgas,Karnobat,18456,8963,9493,42.65,26.9833
2011,Burgas,Kiten,950,482,468,42.2344,27.7711
2011,Burgas,Malko Tarnovo,2437,1188,1249,41.9833,27.5333
2011,Burgas,Nesebar,10531,5132,5399,42.66,27.72
2011,Burgas,Obzor,2155,1084,1071,42.8167,27.8833
2011,Burgas,Pomorie,13525,6524,7001,42.55,27.65
2011,Burgas,Primorsko,2989,1474,1515,42.2667,27.75
2011,Burgas,Sveti Vlas,2902,1511,1391,42.7167,27.7667
2011,Burgas,Sozopol,4285,2101,2184,42.4167,27.7
2011,Burgas,Sredets,9032,4439,4593,42.3483,27.1933
2011,Burgas,Sungurlare,3185,1579,1606,42.7667,26.7833
2011,Burgas,Tsarevo,6065,2979,3086,42.17,27.85
2011,Burgas,Chernomorets,2062,1040,1022,42.45,27.64
2011,Varna,Aksakovo,7839,3859,3980,43.2592,27.8211
2011,Varna,Beloslav,7782,3895,3887,43.19,27.7
2011,Varna,Byala,2011,1029,982,42.8833,27.8833
2011,Varna,Byala,2011,1029,982,43.4631,25.7214
2011,Varna,Varna,334781,162589,172192,43.2167,27.9167
2011,Varna,Valchi Dol,3169,1538,1631,43.4,27.5333
2011,Varna,Devnya,8031,3965,4066,43.2222,27.57
2011,Varna,Dolni Chiflik,6638,3290,3348,42.9833,27.7333
2011,Varna,Dalgopol,4822,2417,2405,43.05,27.35
2011,Varna,Ignatievo,4006,1950,2056,43.3,27.7
